Frames,LRU,SECOND,OPT
2,126391,123545,97148
4,64098,63392,38215
6,32502,33446,20256
8,23027,23680,13328
10,17423,17220,8820
12,10190,10773,5696
14,7971,8434,4196
16,6172,6517,3020
18,5041,4981,2188
20,3527,3691,1565
22,2611,2686,1156
24,1732,1876,903
26,1297,1413,730
28,1014,1108,613
30,865,921,538
32,736,797,491
34,653,706,456
36,623,653,431
38,585,603,412
40,558,573,396
42,527,549,382
44,513,532,368
46,500,509,359
48,483,492,351
50,474,486,346
52,464,461,342
54,456,443,338
56,438,437,334
58,432,430,330
60,420,422,326
62,415,424,322
64,409,412,318
66,404,402,314
68,399,399,311
70,396,400,309
72,393,390,307
74,386,387,305
76,382,385,303
78,380,380,301
80,378,376,299
82,377,372,297
84,372,368,295
86,369,369,294
88,364,365,294
90,360,367,294
92,358,363,294
94,357,362,294
96,353,361,294
98,352,356,294
100,351,355,294
102,351,350,294
104,349,351,294
106,348,347,294
108,347,348,294
110,343,349,294
112,341,346,294
114,338,345,294
116,337,346,294
118,336,345,294
120,336,342,294
122,335,342,294
124,335,341,294
126,335,338,294
128,332,338,294
130,332,338,294
132,331,338,294
134,331,335,294
136,330,332,294
138,330,333,294
140,328,332,294
142,326,330,294
144,324,329,294
146,321,325,294
148,321,324,294
150,321,322,294
152,319,322,294
154,319,320,294
156,318,321,294
158,318,321,294
160,317,321,294
162,317,321,294
164,317,321,294
166,317,320,294
168,316,318,294
170,315,318,294
172,313,317,294
174,312,316,294
176,312,316,294
178,311,316,294
180,311,318,294
182,311,319,294
184,311,320,294
186,311,320,294
188,311,322,294
190,310,323,294
192,308,324,294
194,306,323,294
196,306,322,294
198,306,320,294
200,306,321,294
